pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
M Bumgarner,J Nix,1,___,Feb-00,Jayson Nix flied out to left (Fly).,0.86,0.22,0.937,-0.021,-0.14,top,8,5,58,57
M Bumgarner,A Escobar,2,___,Feb-00,Alcides Escobar flied out to center (Fly).,0.46,0.09,0.948,-0.011,-0.09,top,8,5,59,58
K Herrera,P Sandoval,0,___,Feb-00,Pablo Sandoval singled to center (Grounder).,0.19,0.43,0.956,0.008,0.37,bottom,8,5,60,59
K Herrera,H Pence,0,1__,Feb-00,Hunter Pence singled to left (Grounder). Pablo Sandoval advanced to 2B.,0.31,0.79,0.967,0.011,0.6,bottom,8,5,61,60
W Davis,B Belt,0,12_,Feb-00,Brandon Belt struck out looking.,0.36,1.39,0.956,-0.011,-0.56,bottom,8,5,62,61
W Davis,J Perez,1,12_,Apr-00,Juan Perez doubled to center (Fly). Pablo Sandoval scored. Hunter Pence scored. Juan Perez advanced to 3B on error. Error by Alcides Escobar.,0.42,0.83,0.994,0.037,2.05,bottom,8,5,63,62
W Davis,B Crawford,1,__3,May-00,Brandon Crawford singled to left (Fliner (Liner)). Juan Perez scored.,0.08,0.89,0.996,0.003,0.58,bottom,8,5,64,63
W Davis,M Bumgarner,1,1__,May-00,Madison Bumgarner struck out looking.,0.02,0.46,0.996,0,-0.26,bottom,8,5,65,64
W Davis,G Blanco,2,1__,May-00,Gregor Blanco struck out looking.,0.02,0.2,0.995,0,-0.2,bottom,8,5,66,65
M Bumgarner,A Gordon,0,___,May-00,Alex Gordon flied out to right (Fliner (Fly)).,0.13,0.43,0.998,-0.003,-0.21,top,9,5,67,66
M Bumgarner,L Cain,1,___,May-00,Lorenzo Cain grounded out to shortstop (Grounder).,0.06,0.22,1,-0.001,-0.14,top,9,5,68,67
M Bumgarner,E Hosmer,2,___,May-00,Eric Hosmer grounded out to third (Grounder).,0.01,0.09,1,0,-0.09,top,9,5,69,68
Y Ventura,G Blanco,0,___,0-0,Gregor Blanco struck out swinging.,0.87,0.45,0.521,-0.021,-0.21,top,1,6,1,1
Y Ventura,J Panik,1,___,0-0,Joe Panik flied out to center (Fliner (Liner)).,0.61,0.23,0.536,-0.015,-0.14,top,1,6,2,2
Y Ventura,B Posey,2,___,0-0,Buster Posey grounded out to shortstop (Grounder).,0.39,0.09,0.546,-0.01,-0.09,top,1,6,3,3
J Peavy,A Escobar,0,___,0-0,Alcides Escobar flied out to right (Fliner (Fly)).,0.87,0.45,0.524,-0.021,-0.21,bottom,1,6,4,4
J Peavy,N Aoki,1,___,0-0,Nori Aoki struck out swinging.,0.61,0.23,0.51,-0.015,-0.14,bottom,1,6,5,5
J Peavy,L Cain,2,___,0-0,Lorenzo Cain walked.,0.4,0.09,0.522,0.012,0.12,bottom,1,6,6,6
J Peavy,E Hosmer,2,1__,0-0,Eric Hosmer singled to left (Fliner (Liner)). Lorenzo Cain advanced to 3B.,0.8,0.21,0.548,0.026,0.26,bottom,1,6,7,7
J Peavy,B Butler,2,1_3,0-0,Billy Butler reached on fielder's choice to shortstop (Grounder). Eric Hosmer out at second.,1.79,0.46,0.5,-0.048,-0.46,bottom,1,6,8,8
Y Ventura,P Sandoval,0,___,0-0,Pablo Sandoval flied out to center (Fly).,0.93,0.45,0.523,-0.023,-0.21,top,2,6,9,9
Y Ventura,H Pence,1,___,0-0,Hunter Pence doubled to right (Grounder).,0.64,0.23,0.479,0.044,0.4,top,2,6,10,10
Y Ventura,B Belt,1,_2_,0-0,Brandon Belt struck out swinging.,1.34,0.63,0.515,-0.036,-0.33,top,2,6,11,11
Y Ventura,M Morse,2,_2_,0-0,Michael Morse flied out to right (Fly).,1.25,0.3,0.549,-0.034,-0.3,top,2,6,12,12
J Peavy,A Gordon,0,___,0-0,Alex Gordon singled to center (Fliner (Fly)).,0.92,0.45,0.587,0.038,0.37,bottom,2,6,13,13
J Peavy,S Perez,0,1__,0-0,Salvador Perez singled to right (Liner). Alex Gordon advanced to 3B.,1.57,0.81,0.686,0.099,0.97,bottom,2,6,14,14
J Peavy,M Moustakas,0,1_3,Jan-00,Mike Moustakas doubled to right (Grounder). Alex Gordon scored. Salvador Perez advanced to 3B.,1.74,1.78,0.787,0.101,1.13,bottom,2,6,15,15
J Peavy,O Infante,0,_23,Jan-00,Omar Infante struck out swinging.,1.24,1.91,0.742,-0.045,-0.57,bottom,2,6,16,16
J Peavy,A Escobar,1,_23,Jan-00,Alcides Escobar singled to first (Grounder).,1.38,1.34,0.749,0.007,0.16,bottom,2,6,17,17
J Peavy,N Aoki,1,123,Feb-00,Nori Aoki singled to left (Grounder). Salvador Perez scored. Mike Moustakas advanced to 3B. Alcides Escobar advanced to 2B.,2.25,1.5,0.826,0.077,1,bottom,2,6,18,18
Y Petit,L Cain,1,123,Apr-00,Lorenzo Cain singled to center (Fliner (Fly)). Mike Moustakas scored. Alcides Escobar scored. Nori Aoki advanced to 3B.,1.71,1.5,0.917,0.091,1.63,bottom,2,6,19,19
Y Petit,E Hosmer,1,_23,Jun-00,Eric Hosmer doubled to center (Grounder). Nori Aoki scored. Lorenzo Cain scored.,0.6,1.13,0.961,0.044,1.5,bottom,2,6,21,20
Y Petit,B Butler,1,_2_,Jul-00,Billy Butler doubled to center (Fliner (Liner)). Eric Hosmer scored.,0.17,0.63,0.977,0.015,1,bottom,2,6,22,21
Y Petit,A Gordon,1,_2_,Jul-00,Alex Gordon grounded out to first (Grounder). Billy Butler advanced to 3B.,0.1,0.63,0.974,-0.002,-0.3,bottom,2,6,23,22
Y Petit,S Perez,2,__3,Jul-00,Salvador Perez fouled out to third (Fly).,0.13,0.34,0.971,-0.003,-0.34,bottom,2,6,24,23
Y Ventura,T Ishikawa,0,___,Jul-00,Travis Ishikawa struck out swinging.,0.21,0.45,0.976,-0.005,-0.21,top,3,6,25,24
Y Ventura,B Crawford,1,___,Jul-00,Brandon Crawford walked.,0.13,0.23,0.97,0.006,0.24,top,3,6,26,25
Y Ventura,G Blanco,1,1__,Jul-00,Gregor Blanco walked. Brandon Crawford advanced to 2B.,0.28,0.48,0.96,0.011,0.37,top,3,6,27,26
Y Ventura,J Panik,1,12_,Jul-00,Joe Panik walked. Brandon Crawford advanced to 3B. Gregor Blanco advanced to 2B.,0.54,0.85,0.94,0.02,0.65,top,3,6,28,27
Y Ventura,B Posey,1,123,Jul-00,Buster Posey grounded into a double play to shortstop (Grounder). Joe Panik out at second.,0.94,1.5,0.981,-0.041,-1.5,top,3,6,29,28
J Machi,M Moustakas,0,___,Jul-00,Mike Moustakas grounded out to shortstop (Grounder).,0.06,0.45,0.979,-0.002,-0.21,bottom,3,6,30,29
J Machi,O Infante,1,___,Jul-00,Omar Infante hit a ground rule double (Fliner (Fly)).,0.04,0.23,0.983,0.003,0.4,bottom,3,6,31,30
J Machi,A Escobar,1,_2_,Jul-00,Alcides Escobar grounded out to pitcher (Grounder).,0.09,0.63,0.98,-0.002,-0.33,bottom,3,6,32,31
J Machi,N Aoki,2,_2_,Jul-00,Nori Aoki walked.,0.08,0.3,0.981,0.001,0.11,bottom,3,6,33,32
J Machi,L Cain,2,12_,Aug-00,Lorenzo Cain hit a ground rule double (Fliner (Fly)). Omar Infante scored. Nori Aoki advanced to 3B.,0.11,0.41,0.99,0.009,1.16,bottom,3,6,34,33
J Machi,E Hosmer,2,_23,Aug-00,Eric Hosmer grounded out to pitcher (Grounder).,0.07,0.56,0.987,-0.002,-0.56,bottom,3,6,35,34
Y Ventura,P Sandoval,0,___,Aug-00,Pablo Sandoval grounded out to pitcher (Grounder).,0.11,0.45,0.99,-0.003,-0.21,top,4,6,36,35
Y Ventura,H Pence,1,___,Aug-00,Hunter Pence grounded out to second (Grounder).,0.07,0.23,0.992,-0.002,-0.14,top,4,6,37,36
Y Ventura,B Belt,2,___,Aug-00,Brandon Belt singled to third (Grounder).,0.03,0.09,0.99,0.001,0.12,top,4,6,38,37
Y Ventura,M Morse,2,1__,Aug-00,Michael Morse grounded out to shortstop (Grounder).,0.08,0.21,0.993,-0.002,-0.21,top,4,6,39,38
